country;region;Provincia;Comuna;latitude;longitude
Chile;Aysén del General Carlos Ibáñez del Campo;General Carrera;Río Ibáñez;-46.255;-71.950
Chile;Bío-Bío;Arauco;Arauco;-37.257;-73.284
Chile;Bío-Bío;Arauco;Cañete;-35.283;-72.233
Chile;Bío-Bío;Arauco;Contulmo;-38.005;-73.225
Chile;Bío-Bío;Arauco;Curanilahue;-37.472;-73.348
Chile;Bío-Bío;Arauco;Lebu;-37.606;-73.643
Chile;Bío-Bío;Arauco;Los Alamos;-37.621;-73.456
Chile;Bío-Bío;Arauco;Tirúa;-38.339;-73.484
Chile;Bío-Bío;Bío Bío;Alto Bío Bío;-33.619;-70.591
Chile;Bío-Bío;Bío Bío;Antuco;-37.327;-71.678
Chile;Bío-Bío;Bío Bío;Cabrero;-37.039;-72.399
Chile;Bío-Bío;Bío Bío;Laja;-37.267;-72.700
Chile;Bío-Bío;Bío Bío;Los Angeles;-36.944;-72.351
Chile;Bío-Bío;Bío Bío;Mulchén;-37.715;-72.239
Chile;Bío-Bío;Bío Bío;Nacimiento;-37.501;-72.676
Chile;Bío-Bío;Bío Bío;Negrete;-37.583;-72.517
Chile;Bío-Bío;Bío Bío;Quilaco;-37.680;-72.007
Chile;Bío-Bío;Bío Bío;Quilleco;-37.467;-71.967
Chile;Bío-Bío;Bío Bío;San Rosendo;-37.258;-72.716
Chile;Bío-Bío;Bío Bío;Santa Bárbara;-37.663;-72.018
Chile;Bío-Bío;Bío Bío;Tucapel;-37.633;-73.333
Chile;Bío-Bío;Bío Bío;Yumbel;-37.096;-72.556
Chile;Bío-Bío;Concepción;Chiguayante;-36.909;-73.028
Chile;Bío-Bío;Concepción;Concepción;-36.815;-73.029
Chile;Bío-Bío;Concepción;Coronel;-36.982;-73.157
Chile;Bío-Bío;Concepción;Florida;-36.821;-72.662
Chile;Bío-Bío;Concepción;Hualpén;-36.789;-73.110
Chile;Bío-Bío;Concepción;Hualqui;-36.967;-72.933
Chile;Bío-Bío;Concepción;Lota;-37.089;-73.155
Chile;Bío-Bío;Concepción;Penco;-36.742;-72.998
Chile;Bío-Bío;Concepción;San Pedro de la Paz;-36.864;-73.108
Chile;Bío-Bío;Concepción;Santa Juana;-36.446;-72.352
Chile;Bío-Bío;Concepción;Talcahuano;-36.736;-73.105
Chile;Bío-Bío;Concepción;Tomé;-36.624;-72.950
Chile;Bío-Bío;Ñuble;Bulnes;-36.739;-72.292
Chile;Bío-Bío;Ñuble;Chillán;-36.601;-72.109
Chile;Bío-Bío;Ñuble;Chillán Viejo;-36.633;-72.140
Chile;Bío-Bío;Ñuble;Cobquecura;-36.133;-72.783
Chile;Bío-Bío;Ñuble;Coelemu;-36.485;-72.694
Chile;Bío-Bío;Ñuble;Coihueco;-35.783;-72.433
Chile;Bío-Bío;Ñuble;El Carmen;-36.900;-72.033
Chile;Bío-Bío;Ñuble;Ninhue;-36.401;-72.397
Chile;Bío-Bío;Ñuble;Ñiquén;-36.287;-71.899
Chile;Bío-Bío;Ñuble;Pemuco;-36.978;-72.091
Chile;Bío-Bío;Ñuble;Pinto;-36.700;-71.900
Chile;Bío-Bío;Ñuble;Portezuelo;-36.533;-72.433
Chile;Bío-Bío;Ñuble;Quillón;-36.738;-72.469
Chile;Bío-Bío;Ñuble;Quirihue;-36.281;-72.545
Chile;Bío-Bío;Ñuble;Ránquil;-36.650;-72.550
Chile;Bío-Bío;Ñuble;San Carlos;-36.422;-71.959
Chile;Bío-Bío;Ñuble;San Fabián;-36.554;-71.549
Chile;Bío-Bío;Ñuble;San Ignacio;-36.800;-72.033
Chile;Bío-Bío;Ñuble;San Nicolás;-36.883;-72.483
Chile;Bío-Bío;Ñuble;Treguaco;-36.429;-72.665
Chile;Bío-Bío;Ñuble;Yungay;-24.070;-69.914
Chile;Coquimbo;Choapa;Canela;-31.396;-71.419
Chile;Coquimbo;Choapa;Illapel;-31.639;-71.179
Chile;Coquimbo;Choapa;Los Vilos;-31.915;-71.506
Chile;Coquimbo;Choapa;Salamanca;-31.780;-70.967
