Comunas;etnia;etnia2;frec;n;perc;lat;long
CALERA;Pehuenche;Mapuche;3;6822;0.000439754;-32.784;-71.204
CARTAGENA;Pehuenche;Mapuche;3;6822;0.000439754;-34.167;-71.75
ROMERAL;Pehuenche;Mapuche;3;6822;0.000439754;-34.967;-71.133
SAGRADA FAMILIA;Pehuenche;Mapuche;3;6822;0.000439754;-35;-71.383
COLBÚN;Pehuenche;Mapuche;3;6822;0.000439754;-35.7;-71.417
LONGAVÍ;Pehuenche;Mapuche;3;6822;0.000439754;-35.966;-71.682
CURANILAHUE;Pehuenche;Mapuche;3;6822;0.000439754;-37.472;-73.348
LAJA;Pehuenche;Mapuche;3;6822;0.000439754;-37.267;-72.7
TUCAPEL;Pehuenche;Mapuche;3;6822;0.000439754;-37.633;-73.333
RENAICO;Pehuenche;Mapuche;3;6822;0.000439754;-37.667;-72.583
VICTORIA;Pehuenche;Mapuche;3;6822;0.000439754;-38.23;-72.343
ANCUD;Pehuenche;Mapuche;3;6822;0.000439754;-41.877;-73.814
FUTALEUFÚ;Pehuenche;Mapuche;3;6822;0.000439754;-43.168;-71.848
LO ESPEJO;Pehuenche;Mapuche;3;6822;0.000439754;-33.522;-70.687
LA UNIÓN;Pehuenche;Mapuche;3;6822;0.000439754;-40.292;-73.088
RÁNQUIL;Pehuenche;Mapuche;3;6822;0.000439754;-36.65;-72.55
POZO ALMONTE;Pehuenche;Mapuche;2;6822;0.000293169;-20.291;-69.696
MEJILLONES;Pehuenche;Mapuche;2;6822;0.000293169;-23.11;-70.456
TIERRA AMARILLA;Pehuenche;Mapuche;2;6822;0.000293169;-27.473;-70.283
CHAÑARAL;Pehuenche;Mapuche;2;6822;0.000293169;-26.346;-70.624
VICUÑA;Pehuenche;Mapuche;2;6822;0.000293169;-30.019;-70.715
ILLAPEL;Pehuenche;Mapuche;2;6822;0.000293169;-31.639;-71.179
OVALLE;Pehuenche;Mapuche;2;6822;0.000293169;-30.599;-71.189
PUCHUNCAVÍ;Pehuenche;Mapuche;2;6822;0.000293169;-32.748;-71.398
QUINTERO;Pehuenche;Mapuche;2;6822;0.000293169;-32.845;-71.467
EL QUISCO;Pehuenche;Mapuche;2;6822;0.000293169;-33.409;-71.649
CATEMU;Pehuenche;Mapuche;2;6822;0.000293169;-32.781;-70.969
OLMUÉ;Pehuenche;Mapuche;2;6822;0.000293169;-33.009;-71.17
PICHILEMU;Pehuenche;Mapuche;2;6822;0.000293169;-34.402;-72.009
CONSTITUCIÓN;Pehuenche;Mapuche;2;6822;0.000293169;-35.339;-72.414
SAN RAFAEL;Pehuenche;Mapuche;2;6822;0.000293169;-35.317;-71.533
CAUQUENES;Pehuenche;Mapuche;2;6822;0.000293169;-35.964;-72.317
PELLUHUE;Pehuenche;Mapuche;2;6822;0.000293169;-35.814;-72.574
TENO;Pehuenche;Mapuche;2;6822;0.000293169;-34.873;-71.162
RETIRO;Pehuenche;Mapuche;2;6822;0.000293169;-36.046;-71.759
HUALQUI;Pehuenche;Mapuche;2;6822;0.000293169;-36.967;-72.933
ARAUCO;Pehuenche;Mapuche;2;6822;0.000293169;-37.257;-73.284
FREIRE;Pehuenche;Mapuche;2;6822;0.000293169;-38.954;-72.622
PITRUFQUÉN;Pehuenche;Mapuche;2;6822;0.000293169;-38.983;-72.643
VILLARRICA;Pehuenche;Mapuche;2;6822;0.000293169;-39.28;-72.218
ANGOL;Pehuenche;Mapuche;2;6822;0.000293169;-37.803;-72.702
TRAIGUÉN;Pehuenche;Mapuche;2;6822;0.000293169;-38.248;-72.675
QUINCHAO;Pehuenche;Mapuche;2;6822;0.000293169;-42.479;-73.497
RÍO NEGRO;Pehuenche;Mapuche;2;6822;0.000293169;-41.967;-72.45
